"","x"
"3478","Co siê sta³o z linkami do JAG? (raczej z ca³¹ podstron¹)"
"3479","Zabójcze Umys³y (Criminal Minds) S07E13? plz :)"
"3480","¯al mi was ludzie, obsrywacie siê o pojedyncze odcinki jakby koniec œwiata siê dzia³, to sobie odpuœcie jeden odcinek i zróbcie coœ po¿ytecznego mo¿e"
"3481","a co to siê dzieje ze stronk¹?? bo nie mogê wejœæ :/"
"3482","IItv.info.. nie dajecie nam odpowiedzi. A my czekamy na jakieœ informacje bo jesteœmy zieloni ;/ Informacji np dotycz¹cych napisów, które powinny ju¿ byæ... Fajnie by by³o znaæ odpowiedzi, a nie tylko zadawaæ pytania ;p"
"3483","Nikita 2010 - Rogue jest bez napisów ju¿ chyba tydzieñ, nie wiecie kiedy bêd¹ napisy? Bo zrozumieæ z angielskiego bez problemu zrozumiem, ale jakoœ s³abo siê ogl¹da wtedy ^^ Wiem ¿e macie du¿o na g³owie ale by³ bym bardzo szczêœliwy gdyby coœ siê ruszy³o :)"
"3484","Witam. Prosze nie dodawac linkow z http://www.vidxden.com Moj program antywirusowy szaleje. Pozdrawiam"
"3485","Witam, czy wiadomo kiedy bedzie nowy odcinek Californication? zawsze pojawial sie w poniedzialki..."
"3486","Proooszê! Ju¿ o napisy do nowego odcinka \Gotowych na wszystko\"" :))"""
"3487","a dlaczego mi nie dzia³a i ¿adne odcinek siê nie pojawia- tylko informacja, ze najpóŸniej do soboty bêdzie dzia³aæ? mo¿e ja œlepa albo co???"
"3488","Odcinek 11 z serii 1 ju¿ z napisami"
"3489","W odcinku nie wiem dlaczego, ale 12 serialu \ Awkward \"", jest trojan :/ czy ktoœ sie w³ama³ i wgra³, czy jakiœ b³¹d? niefajnie..."""
"3490","suoer"
"3491","Czy wy równie¿ macie problemy z ANYFILES? Ja muszê czekaæ dobre 10 minut a¿ odcinek siê w³¹czy. a niby buforuje ca³y czas."
"3492","Nie . to zale¿y od prêdkoœci internetu"
"3493","@Krzysztof ja mam taki sam problem, a zwykle buforowa³o siê b³yskawicznie."
"3494","Mi siê nie uda³o uruchomiæ tego odcinka, dopiero znalaz³am na innym serwerze i tam mi siê uruchomi³o."
"3495","anyfiles bez problemu, ale ja za co mam problemy z odtwarzaczem xvidstage. to jest dopiero pora¿ka."
"3496","Napisy w 'The Walking Dead' odc. Nebraska, s¹ niewiarygodnie ¿a³osne. Ca³oœæ wygl¹da jakby by³a t³umaczona w translatorze google. Mimo, ¿e s¹, to jedynie przeszkadzaj¹.. Proszê abyœcie coœ z tym zrobili bo tak siê nie da ogl¹daæ.. Rozumiem, ¿e jest zamieszanie z brakiem megavideo, ¿e inne odtwarzacze online s¹ do dupy, ale gdy ju¿ coœ robicie zróbcie to porz¹dnie, aby przywróciæ dawny komfort ogl¹dania.. "
"3497","o co chodzi ? dlaczego znikn¹³ ca³y folder Skins UK ? jest tylko ta jebana amerykañska wersja ,ale ona jest beznadziejna ! dlaczego to usunêliœcie ?! rozumiem parê odcinków ,ale dlaczego ca³y folder ,jak milion innych ci¹gle jest."
"3498","ten maxvideo jest do dupy. wlczylam odcinek i zaczelam ogladac, minelo 5 minut serialu komputer mi sie uruchomil od nowa i pokazalo mi juz ze limit na dzisiejszy dzien wykorzystalam :/ "
"3499","a kiedy bedzie mo¿na zobaczyæ person of interest? "
"3500","Uporz¹kowaliœmy nazewnictwo seriali. Jeœli jest polski tytu³, pojawia siê on jako pierwszy + w nawiasie tytu³ oryginalny. W ka¿dej przegl¹darce wystarczy wcisn¹æ CTRL+F i wpisaæ kilka liter by odnaleŸæ szukany serial. Wkrótce damy mo¿liwoœæ znajdywania serialu przez okienko na stronie."
"3501","dziêki"
"3502","Nooo!"
"3503","Happy valentin"
"3504","Chyba wam siê popsu³o wyœwietlanie najnowszych odcinków na g³ównej stronie...tak mi siê zdaje"
"3505","http://iitv.info/skins/"
"3506","i dziêki temu ¿ycie 90% u¿ytkowników iitv.info sta³o siê prostsze, dziêki odkryciu CTRL+ F ;)"
"3507","Czemu przyjmujecie tylko seriale z t³umaczeniem lub lektorem? Jest wiele fajnych programów i seriali których nikt nie t³umaczy i jest wiele ludzi którzy nie potrzebuj¹ napisów do szczêœcia."
"3508","a wiecie coœ na temat tego ¿e wiele nie mo¿e wejœæ obecnie na wasz¹ strone poprzez zapisana zak³adke (przerzuca na http://iitv.localhost/), trzeba was googlowac i tak wchodzic na wasza strone :p"
"3509","Witam! Orientuje siê ktoœ kiedy startuje \Warehouse 13\"" ?"""
"3510","Czwarty sezon oczywiœcie"
"3511","Kiedy pojawi siê nowy odcinek gotowych na wszystko? ;)"
"3512","ja tak mam jak wchodze przez chroma... i jest to uciazliwe :)"
"3513","Hart of dixie nie ma napisow od trzech tygodniu, wczoraj byl emitowany 3 odcinek i obawiam sie ze bedzie to kolejny bez napisow pl.  Bedziecie je wstawiac czy nie ma na co czekac? :)"
"3514","Co siê sta³o z serialem NCIS? Znikn¹³ Waszej strony. I strasznie d³ugo nie ma napisów do ostatniego odcinka. Ba³agan siê zrobi³."
"3515","Dacie jakiœ inny odtwarzacz do najnowszego odcinka 'Once upon a time' ? Tamten co jest nie dzia³a ;("
"3516","wiem :( masakra. Najlepiej to sie ogl¹da na videoweed albo antyfiles"
"3517","Ostatnio ci¹gle jak w³¹czam nowe odcinki na iitv to mi wyskakuje : ("
"3518","jestem za"
"3519","Zgadzam sie z kolezanka."
"3520","raczej nie. :0"
"3521","Kiedy mo¿na siê spodziewaæ najnowszych odcinków Plotkary, Pretty Little Lilars i Hart of dixie? "
"3522","Coœ Wam siê chyba strefa czasowa na stornie zmieni³a, bo jesteœcie kilka godzin do przodu - wczoraj o 22 dodany odcinek wyœwietla³ siê z dzisiejsz¹ dat¹, dopiero co przys³ane powiadomienia o nowym odcinku s¹ wys³ane dzisiaj o 23.00 (a jest 15.30 :P)"
"3523","mo¿ecie jeszcze tak zrobiæ ¿e klikacie na litere np. A i pokazuj¹ co siê wszystkie seriale na a"
"3524","Chyba jest problem z nowym odcinkiem Awkward, na g³ównej jest info, ze mo¿na ogl¹daæ a gdy siê wejdzie dalej to niestety niedostêpny :("
"3525","Kiedy bêd¹ przet³umaczone odcinki Jane by Design? Czekam i czekam. :("
"3526","noooo w³aœnie! awkward. potrzebny ;d"
"3527","Bêdzie dziœ House?"
"3528","a ja dziêkujê, ¿e jesteœcie i ¿e tak siê staracie :) gor¹co pozdrawiam :)"
"3529","no! wreszcie siê doczeka³am ;)"
"3530","Dziêki za moich doktorów, kocham Was! ;** "
"3531","No i co? Nikt mi nie odpowie???"
"3532","ja osobiœcie czekam tak¿e na napisy do dodanych ju¿ odcinków hart of dixie ale doœæ d³ugo ich nie ma ;/"
"3533","Lost Girl s01e03 - z³e napisy"
"3534","w Skins US dodaliscie odcinek z Skins UK :) chodzi mi o nowy odcinek Katy&Emily :) chyba,¿e ju¿ identycznych aktorów znaleŸli :D"
"3535","Teraz jest zdecydowanie wygodniej"
"3536","kiedy bedzie nowy odcinek californication z napisami ? :("
"3537","Angielskiego trzeba sie uczyc a nie na napisy czekac hehe :p"
"3538","oj tam oj tam :P poprostu z napisami czuje sie pewniej :P"
"3539","w sumie ja tez"
"3540","Po jaka cholere dodajecie cos takiego ? Wlaczyliscie to chociaz na 15 sek zeby zobaczyc jak to jest przetlumaczone ? http://video.anyfiles.pl/videos.jsp?id=18116#"
"3541","zgadzam sie to jest zalosne tego sie nie da obejrzec wstawcie chociaz angielskie napisy jak nie ma wersji pl ..."
"3542","Do³¹czam siê do proœby osoby wy¿ej, nie mo¿na tych seriali w jakimœ innym odtwarzaczu ni¿ mexvideo, który limit czasowy jest ustawiony na 15 min w ci¹gu doby, jakaœ pora¿ka, nie mo¿na nawet 1 odcinka obejrzeæ w ca³oœci ...:("
"3543","czekam na Unforgettable i alcatraz (:"
"3544","kiedy bêd¹ w koñcu odcinki Jane by Design 4, 5 i 6 po polsku?"
"3545","WITAM, jest nowy odcinek i jak mam to obejrzec? wciskam stronê ogl¹daj odcinek a tam do góry przy ogl¹daj i pobierz reklama jakas i jeden dostepny link. wchodze na link bitshare i live ogladac nie mogê...a ja sci¹gac NIE chcê odcinka!!!!! czy to ma jakis sens???? http://iitv.info/hawaii-five-0/s02e16-i-helu-pu-the-reckoning.html"
"3546","chyba tylko trzeba sciagnac :/"
"3547","czyli wtedy strona mija siê z celem i swoim przeslaniem....ja NIE sci¹gam nic z neta a obejrzec bym online obejrza³a ://// bez sensu po tych zmianach ...."
"3548","no masakra albo wchgodzisz na jakis inny odtwarzacz i czekasz dlugo :("
"3549","tutaj mozna zobaczyc tylko trzeba sie zarejestrowac"
"3550","http://omijaj.net"
"3551","z tym az takich problemow nie mam...z calym buforowaniem i nie narzekam az tak...gorzej z ogladaniem i / lub sciaganiem....ja i tak podziwiam i dziekuje osobom za prowadzenie tego serwisu tylko niech sie linki trzymaja kupy tzn pierwotnej wersji czyli OGL¥DANIA ONLINE!"
"3552","dziêki Madzia.... pozostane wierna 1 serwisowi bo nabijanie na si³e ilosci userow i logowanie sie musowe to tez nie dla mnie.... za chwile trzeba bedzie wszedzie zakladac konta by moc na stronê wejsc :/"
"3553","Kiedy bêd¹ napisy do nowego odcinka HIMYM? Normalnie s¹ we wtorki a nadal nie ma :/ "
"3554","Odcinek 6 z sezonu 5 ju¿ z napisami!"
"3555","kiedy HIMYM?"
"3556","ooo wkoñcu dziêkuje"
"3557","a co z Housem?"
"3558","czekamy na dr. house teraz xd"
"3559","Co sie dzieje z napisami do np. Swiched at Birth, The Lying Game, Jane by Design i Hart of Dixie???? jeszcze miesiac temu byly tumaczone w przeciagu jednego, najwyzej dwoch dni a teraz nie dzieje sie nic od tygodni :( - po angielsku rozumiem 3/4 i na pewno nie jestem z tym sama :( "
"3560","Alcatraz:D"
"3561","Pamiêtniki wampirów <3"
"3562","Dru¿yna A"
"3563","Dajcie Louie'go CK !!"
"3564","pamietniki wampirów i  czysta krew !!! xd"
"3565","xvidstage- jak toto uruchomic? zalogowalem sie, mam pluginy i nie ssie? heeeelp!"
"3566","jupi!"
"3567","Odcinek 13 z sezonu 8 ju¿ z napisami!"
"3568","zaraz bêdê ogl¹daæ :D"
"3569","a nawet 14 jest ju¿ :)"
"3570","Dziêkujemy! <3"
"3571","nie dziala!!!"
"3572","!!"
"3573","a kiedy dr housa z napisami? bo wiem ze juz wyszly"
"3574","No to zaczynam ogl¹daæ ;]"
"3575","jest szansa, ¿eby odcinki wrzucaæ na inny serwer ni¿ anyfiles? Na nim albo bardzo (!) powoli siê buforuje, albo wcale."
"3576","Pamiêtniki Wampirów lepsze :D"
"3577","a kiedy nowy odcinek Private Practice? chirurdzy byli juz w piatek a PP dalej nie ma :("
"3578","nareszcie!"
"3579","nie mogê za³adowaæ ;<"
"3580","dobra wiadomosc;D"
"3581","œwietna piosenka"
"3582","Iza mo¿e masz kiepskie po³¹czenie internetowe :)"
"3583","kiedy bêdzie odcinek 15 trzeciego sezonu \pamiêtników wampirów\"" ?  mo¿e nawet byæ po angielsku :P"""
"3584","gotowe to lipa"
"3585","dlaczego tak póŸno wstawiliœcie wczoraj ten odcinek? zd¹¿y³am ju¿ znaleŸæ sobie link przez inny portal. Zawsze To wasza strona by³a pierwsza! ( dotyczy to tez innych seriali)"
"3586","kiedy bêd¹ napisy do dr housa?"
"3587","teraz trzeba obejrzeæ z napisami i upewniæ siê czy wszystko siê dobrze zrozumia³o :D:D"
"3588","jak to ogladac ? jak klikam \ogladaj\"" to otwiera mi sie jakas strona gdzie mam wpsiac nr tel"""
"3589","I juz widzia³am :)"
"3590","monikadron"
"3591","dzieki ,dzieki obejrzalam teraz moge skonczyc ten sezon do konca"
"3592","A co siê dzieje z serialem AKWARD. Pierw siê pojawi³ odcinek , a póŸniej sta³ siê niedostêpny "
"3593","uwielbiam"
"3594","kiedy bêdzie dostêpny nowy odcinek plotkary???"
"3595","k dron"
"3596","Myœla³am, ¿e siê nie doczekam.. ;)"
"3597","gdzie mogê znaleŸæ 14 odcinek gotowych bez logowania siê?"
"3598","<3 !"
"3599","monika dron"
"3600","A gdzie tlumaczenia 3 odcinkow jane by design??!!"
"3601","Ludzie, dostajecie ulubione seriale na tacy, za darmo, a co chwila ktoœ ma pretensje! Mo¿e trochê wiêcej pokory? Co siê dzieje z tymi ludŸmi? Jak nie ma napisów, to braæ s³ownik do rêki, albo pokornie czekaæ. A jak siê d³ugo buforuje to w domu posprz¹taæ, lekcje odrobiæ."
"3602","Ewelina Pic ja mam wszystkie odcinki z wgranymi napisami:)"
"3603","15odcinek wciaz nie ma napisów :("
"3604","A kiedy HIMYM Bêdziê dostêpny?? :) Nie mogê siê doczekaæ :)"
"3605","nied³ugo nowa seria Mad Men!!! http://bywordofmouse.tumblr.com/post/17653549891/madmen"
"3606","mozna prosiæ Walking Dead na inn¹ stronê?? "
"3607","A wiecie coœ mo¿e o kolejnych odcinkach Luther'a bo czekam i czekam... doczekaæ siê nie mogê :("
"3608","person of interest wstawcie!!"
"3609","czemu www nie dzia³a?"
"3610","Nie dzia³a mi El Barco :("
"3611","Ech i znowu to glupie maxvideo z limitem. Jest jakas szansa na wrzucenie the good wife (konkretnie od drugiego sezonu) na inna strone? jakies odsiebie.pl albo cokolwiek? Maxvideo ma cos z limitem nie halo. Ost raz cos ogladalam dwa dni temu i dalej mi pokazuje, ze limit na dzien dzisiejszy wykorzystany. PORAZKA!"
"3612","jak ktoœ ma problem z limitem maxvideo proszê pisaæ wiadomoœci, pomogê."
"3613","PAULA a skad masz?"
"3614","dlaczego nie ma jeszcze odcinka  s09e15 Secrets"
"3615","dlaczego nie ma odcinka  s09e15 Secrets"
"3616","Witam! Z okazji 15 lutego, który od urodzenia obchodzê jako rocznicê pierwszego 15 lutego, który odby³ siê na Ziemi, proszê, b³agam na kolanach o nowy odcinek Skinsów z napisami/bez napisów, z czymkolwiek byle by³. Albo chocia¿ o informacjê kiedy mam siê go spodziewaæ, bo muszê siê nastawiæ psychicznie. Z powa¿aniem."
"3617","Ma ktoœ namiary na Plotkare z napisami? ;> "
"3618","Moglibyœcie dodaæ na g³ównej informacje ¿eby wrzucaæ seriale g³ównie na maxvideo ? na anyfiles jak kliknê podczas ogl¹dania to mi odœwie¿a stronê a np. vidxden i wiêkszoœæ innych mi nie dzia³a (testowane na 3 komputerach, na FF i Operze)"
"3619","wystarczy zalogowaæ siê przez FB i nie ma limitu"
"3620","jak nie by³em zalogowany to mi co 20 minut komunikat wychodzi³"
"3621","kiedy bêdzie nowy odcinek skinsów?"
"3622","a kiedy bêdzie s09e15 Secrets agenci ncis po polsku"
"3623","hmm a kiedy napisy do hawaii-five-0 ?"
"3624","popieram, anyfiles robi straszne problemy ;/"
"3625","\Nadzieja umiera ostatnia, poŸniej dopiero Rysiek\""  Klan :P"""
"3626","ja tez popieram"
"3627","w pierwszej chwili dosta³am palpitacji, ¿e Supernatural gdzieœ zniknê³o... ;)"
"3628","Co jest z 7 odcinkiem Jane by Design? "
"3629","Pytanko - jesteœcie zainteresowani darmowym hostingiem bez reklam, na zasadzie wspó³pracy z Wami?"
"3630","ja tu patrze ku pociesze ¿e w koncu da³y napisy lub dubbing do csi NY 7 sezon a tu taka kicha niby z napisami a wiekszoœæ odcinków po ENG, LIPA POPROSTU LIPA"
"3631","W sumie nie wiem gdzie napisaæ aby dotar³o na wiêksz¹ skalê wiêc zaspamuje wasz¹ tablicê odrobinê. By³bym niezmiernie wdziêczny gdyby ktoœ ¿yczliwy wrzuci³ przynajmniej czêœæ odcinków \Friday Night Lights\"" :) z góry dziêki """
"3632","Mam najnowsz¹ jave a linki siê nie otwieraj¹."
"3633","nie pokazuje siê aplikacja, czy wyskakuje napis b³¹d"
"3634","ej na tym maxviedo to trzeba sie zarejestrowac zeby ogladaac? bez zadnego placenia? wie ktos?"
"3635","Hmm ja mam tak¹ proœbê.. nie wiem czy jak z jej realizacj¹.. pewnie ciê¿ko.. ale osoby t³umacz¹ce i uploaduj¹ce filmiki mog³yby to robiæ na jakimœ innym serwisie a nie na maxvideo.pl Przecie¿ po jednym odcinku jest chora blokada na 24h .. przynajmniej u mnie.."
"3636","wydanie 5 z³ nie jest maj¹tkiem, a ma siê 15 dni ogl¹dania bez limitów... ;) do tego szybko buforuje i jest ³adny obraz... ;) jeœli mam byæ szczera to maxvideo jak na razie najbardziej mi odpowiada ;)"
"3637","Odcinek 16 z sezonu 7 ju¿ z napisami!"
"3638","Odcinek 4 z sezonu 6 ju¿ z napisami!"
"3639","ten serial to jakas pedagogiczna pomylka. nie mowie ze to tylko wina serialu ale nie chcialbym zeby za kilka lat nasza mlodziez wygladala tak jak ta w uk. pytam fanow bo mnie to ciekawi, mianowicie: co Wy widzicie w tym serialu?"
"3640","chyba gó³wnie to, ¿e pokazuje jakie jest ¿ycie, a nie przedstawia szczêœliw¹ paczkê przyjació³, którzy, za przeproszeniem, li¿a sobie nawzajem dupe"
"3641","a 17 kiedy bd??;)"
"3642","mnie przede wszystkim przera¿a to, w jaki sposób odzywaj¹ siê do siebie ludzie w tym serialu. Jakoœ nie mogê sobie wyobraziæ, ¿e w Anglii naprawdê rodzice, dzieci i nauczyciele kln¹ do siebie jak szewcy :/"
"3643","Plus dobry soundtrack"
"3644","za tydzien. na 16 dlugo czekalismy bo jakas przerwe mieli"
"3645","juz w nocy udalo sie obejrzec dzieki!"
"3646","czekamy na 17:>"
"3647","Lepiej dajcie odcinek z Alexem, bo œci¹ga³am z tych dwóch linków.. nie dzia³a ;/ chyba, ¿e to wina mojego komputera"
"3648","putlocker.com jest najlepszy:)"
"3649","ten sezon co raz bardziej mi siê nie podoba :( dawny Barney jak tylko rozerwa³ by siê mu garnitur to od razu pobieg³ by do krawca :D"
"3650","a Ted nie poszed³ by do klubu"
"3651","no ja nie widzê nigdzie w sezonie 6  odcinka 4 ...ogólnie ¿adnych odcinków nie ma ..."
"3652","Ten sezon coraz bardziej mi siê podoba!!!"
"3653","obejrza³am ju¿ wczoraj, dziêki"
"3654","na anyfiliesie oglada siê beznadziejnie. Prosze wroccie do starej formy ogl¹dania seriali kiedy do wyboru bylo kilka linkow z roznych odtwarzaczy- mi osobiscie najbardziej odpowiada: moviezer. pozdrawiam serdecznie"
"3655","Odcinek 15 z sezonu 5 ju¿ z napisami!"
"3656","aaaa, lecê ogl¹daæ! <3"
"3657","nie dzia³a.."
"3658","no fuck ciekawe gdzie"
"3659","nie ma tak jak jest zazwyczaj.........."
"3660","mi dzia³a"
"3661","ooo dziêki za info ;))"
"3662","Dzia³a :)"
"3663","wszystko dzia³a i s¹ napisy <3"
"3664","u mnie tylko przerzuca na inny serwis a tam za³óz konto premium"
"3665","a ja obejrze dzisiaj :D"
"3666","mogz rozjebany ! ten odcinek byl mega :D"
"3667","a ja muszê ju¿ wyjœædo pracy :(((("
"3668","mi dzia³a teee¿;]"
"3669","Chyba na znak protestu nie obejrzê - co za idiotyczne pomys³y ostatnio forsuj¹ :/"
"3670","nadal czekam na uzupelnienie 9 odcinka 3 serii Skins !"
"3671","Wprowadziliœmy wyszukiwanie seriali - wystarczy wpisaæ conajmniej kilka liter, które zawiera polski lub oryginalny tytu³."
"3672","a co z ostatnim odcinek 90210? niedostêpny ca³y czas..."
"3673","¯YDZI ZABRALI"
"3674","spoko, ze wrzucacie dwa nowe odcinki serialu z napisami, jak poprzedni nawet nie zostal jeszcze przetlumaczony"
"3675","Noo, fajny by³, ale mnie Franky wkurza :\"
"3676","serwis siê popsu³ odsy³a na inne strony i mêcz¹ o platne smsy"
"3677","No có¿, ja ju¿ na \Netflix\"". Legalnie. £aduje siê w 2 sekundy, nie zawiesza. A napisy? Po co komu napisy jak zna angielski? :-)"""
"3678","@ Pulina Walkowiak jak kazdy w tym sezonie najbardziej rozjebujacy mussski sezon w skinach :P"
"3679","Nooo wreszcie! czekam na to od poczatku."
"3680","fajna sprawa :D"
"3681","serial jest dobry ale wersja amerykañska jest lepsza:)"
"3682","Fajnie,¿e s¹ kolejne odcinki z napisami The lying game ale wci¹¿ nie ma napisów do 15odcinka,prosze dodajcie!!!!"
"3683","wlasnie przed hwilom na waszej stronie pröbowalam obejrzec  ZABUJCZE UMYSLY ......i ? nieda sie oglädac ,15 minut ok leci a potem niema glosu lub cos sie zacina ...."
"3684","niesttety ja wlasnie pröbowalam obejrzec ..ZABUJCZE UMYSLY sezon 3 serie 1 i cos glos zanika ........kiedy bendzie mega wideo??"
"3685","Niech mi ktoœ powie dlaczego na stronie jest takie zamieszanie!? Katastrofa"
"3686","mam proœbê o umieszczenie starszych odcinków \Prywatnej Praktyki\"" nie tylko na maxvideo, dziêkujê"""
"3687","wrzuæcie to na inne odtwarzacze  a nie maxvideo bo ¿eby obejrzeæ odcinek trzeba p³aciæ za konto premium ;/"
"3688","odcinek jest, ale w beznadziejnym odtwarzaczu."
"3689","a dlaczego jedne seriale s¹ na zielono, a inne na szaro?"
"3690","Wystarczy³ skrót CTRL+F ;))"
"3691","lol, za nic nie trzeba p³aciæ"
"3692","Raczej ju¿ nie bêdzie megavideo :)"
"3693","Wszyscy narzekacie, ludzie opanujcie siê ! Macie Wasze ulubione seriale podane na tacy a Wy ci¹gle marudzicie. Zero szacunku i wdziêcznoœci. Tak Wam Ÿle tak nie dobrze to bierzcie s³ownik w rêkê i t³umaczcie a potem podzielcie sie swoja prac¹ z innymi ZA DARMO ! Konto premium wyœwietla sie gdy ju¿ wykorzysta³aœ swój dzienny limit.  Nikt ci nie ka¿e, go wykupywaæ. Lecz nie s¹dzê, ¿e 5 z³otych to taka fortuna, o któr¹ trzeba rozpêtywaæ burze. Proszê myœlcie."
"3694","czy ktos wie gdzie moge sciagnac ten odcinek ? bo kurde szukam, szukam i na zadnej sensownej stronie nie moge tego znalezc.. moze ktos moglby gdzies go wrzucic do sciagniecia ?"
"3695","Szkoda, ¿e i sam serwis schodzi na psy... Co drugi link zainfekowany trojanami i innymi syfami. Uwa¿ajcie :)"
"3696","Ju¿ wczeœniej o tym pisa³am, ale przesz³o bez echa wiêc ponowiê pytanie: kiedy dodacie nowe odcinki CSI: Las Vegas? Bo ju¿ 2 do ty³u jesteœcie... No i ja te¿:/"
"3697","Mo¿ecie dodaæ ten odcinek te¿ w innym odtwarzaczu? Ten strasznie siê zacina"
"3698","przykra sprawa bo bardzo lubialam tä strone z serialami ........a teraz poprostu juz nieda sie normalnie pewnych seriali normalnie oglädac ..."
"3699","powodzenia wam zycze szczerze .....ja od lat mieszkam w Angli i niekorzystam z polskiej satelity dlatego wasz serwis jest dlamnie wazny ......"
"3700","Was te¿ po jakiœ 10 minutach wyrzuci³o aby siê zarejestrowaæ? :/"
"3701","te¿..;/"
"3702","dwn wygl¹da jak megavideo. I póki co, mnie dzia³a dok³adnie jak tamten"
"3703","bo tam chodzi o to, ¿eby w³¹czyæ ten serial, powiêkszyc ekran i ju¿ do koñca filmu nie zmniejszaæ, bo wtedy siê limit w³¹cza."
"3704","zna ktoœ mo¿e piosenkê z minuty 2:37? Wtedy kiedy Blair rozmawia z Dorot¹ i t¹ ca³¹ przyzwoitk¹? Zaraz po s³owach Blair \How great is that\"" coœ takiego :P"""
"3705","znalaz³am :) http://www.youtube.com/watch?v=Ki1TC3ShlkI"
"3706","wystarczy³o nacisn¹æ ctrl + f,na to samo wychodzi"
"3707","hmmm zast¹piliœcie przegl¹darkow¹ szukajkê (ctrl+F) w³asn¹?;>"
"3708","Ja tam ogl¹dam Supernatural :D"
"3709","Jeszcze wczoraj mo¿na by³o obejrzeæ PLL z napisami, a dzisiaj ju¿ nie, naprawicie to? :)"
"3710","Dawac VD a nie ;d"
"3711","\chyba gó³wnie to, ¿e pokazuje jakie jest ¿ycie\""- ahahahhahahahahahhahaha."""
"3712","co w nim widzê ? rzeczywistoœæ !"
"3713","oo rzeczywiœcie fajny dodatek :) btw. DwnShare super!"
"3714","Jest szansa na napisy do nowych odcinków Top Gear? Od premiery drugiego odcinka minê³o ju¿ sporo czasu, a napisów wci¹¿ nie widaæ."
"3715","Mo¿e ktoœ wrzuciæ 6 odcinek Alcatraz z napisami na inny odtwarzacz? "
"3716","NO NARESZCIE!!!!!!!!!!!!! :p)))))))))"
"3717","18 LAT NA TO CZEKA£EM :)"
"3718","wielkie dzieki za nowe tlumaczenie alcatraz (:"
"3719","haha, amerykañska wersja lepsza? nigdy... wszystko identycznie zrobione, po kolei, te same dialogi, imiona, w¹tki. po co robiæ drugi raz ten sam serial skoro i tak siê go nie przebije?"
"3720","Jak mogê ogl¹dn¹æ Nikitê bo nie mogê œci¹gaæ"
"3721","Jestem zawiedziona :( Zawsze ogl¹da³am seriale na waszym portalu. Niestety ostatnio dzieje siê z Wasz¹ stron¹ coœ niedobrego i linki po prostu mi nie dzia³aj¹.. A szkoda :( Nie znam drugiej tak dobrej (kiedyœ) strony..:( "
"3722","Wow, widzê, ¿e idziecie naprzód ze swoj¹ stron¹- i dobrze, jest super!"
"3723","Mo¿na prosiæ o jakiœ inny link do Glee? Bo do tamtych potrzeba jakichœ wtyczek i komputer siê infekuje wirusami. ;/"
"3724","nie wiecie czy rejestracja na maxvideo jest darmowa, nie moge obejrzec Supernatural bo kaza mi sie zajerestrowac."
"3725","Ringer 13odcinek ma napisy po angielsku :/ "
"3726","ja siê zarejestrowa³am. przed sekund¹ . i od razu mi powiedzia³o- sorry ale wyczerpa³aœ limit (mimo ¿e niczego nie ogl¹da³am) wykup konto Premium. Straszne dupki. szkoda, ¿e wiekszoœc moich ulubionych seriali jest u nich. Ale wole nie ogl¹daæ ni¿ p³acic niedorobionym dupkom."
"3727","Hej, ma³a uwaga, której moglibyœcie siê przyjrzeæ.. w³aœciwie dwie. Po pierwsze Wasz filtr kuleje na podstronach mieszaj¹c adresy podstron.. przyk³ad: http://iitv.info/suits/castle. Po drugie, skoro wprowadziliœcie ju¿ wyraŸne wizualne wyodrêbnienie tytu³ów oryginalnych/polskich ujednoliæcie te¿ listê. Niech wszystkie seriale bêd¹ na niej widoczne w tytu³ach oryginalnych, zaœ ana szaro uzupe³nione o tytu³y polskie."
"3728","wyszukiwarka jest beznadziejna... bo \dopisuje\"" w adresie nazwê serialu. wejdŸcie sobie w jak¹œ zak³adkê z serialem, wyszukajcie nastêpny i spróbujcie przejœæ do niego. i co? dupa! link wygl¹da np. tak: http://iitv.info/jak-poznalem-wasza-matke/dwoch-i-pol tak¿e wg mnie do poprawki poza tym nie mo¿e byæ tak jak kiedyœ?! (oryginalna nazwa w nawiasie) wg mnie by³o miliard razy lepiej! Z góry dziêki za odpowiedŸ!"""
"3729","Mirror proszê :/"
"3730","KOCHAM WAS <3"
"3731","kiedy bêdzie nowy odc Family Guy?"
"3732","Ogl¹dam ten serial bo sama czasami chcia³abym byæ tak wolna jak oni ;p I zgadzam siê.. akurat amerykanie w tej kwestii nie podo³ali ;p"
"3733","ej co jest z tym maxvideo.pl ? po co tam uploudujecie skoro to serwis p³atny ? ? ?"
"3734","na maxvideo.pl fajnie siê ogl¹da ale niestety jest p³atne, trzeba szukaæ innej najlepiej darmowej alternatywy ;)"
"3735","Kochany portalu - W ostatnim odcinku Glee (Hearts) s¹ pewne b³êdy - odcinek rozje¿d¿a mi siê strasznie tak mniej wiêcej od 15 minuty. +link do podobno Polskiej wersji odsiebie.pl jest z³y - jest odcinek, owszem, s¹ napisy, oczywiœcie, ale w jêzyku angielskim. Dziekujê za uwagê :)) "
"3736","wystarczy³o F3 wcisn¹æ ale i tak fajnie ¿e s¹ zmiany :)"
"3737","i co z tego jak nie da siê normalnie ogl¹daæ seriali? albo odtwarza mi 15 min albo wcale, zmieñcie na jakiœ inny, maxvideo jest tragiczny"
"3738","zmienicie kolejnoœæ listy odc najnowsze na górze trony bo jak 15 sezonów jest do przeskrolowania to wkurza"
